Model,Learning_Rate,Hidden_Size,batch_size,pooling_style,acc,time(预测100条耗时）
bert_lstm,0.001,128,64,avg,0.8707256046705588,27.602981893639814
bert_lstm,0.001,128,64,max,0.8703085904920768,28.510642679114092
bert_lstm,0.001,128,128,avg,0.8840700583819849,59.13086815884239
bert_lstm,0.001,128,128,max,0.890742285237698,61.597357298198496
bert_lstm,0.0001,128,64,avg,0.871976647206005,29.68925112172177
bert_lstm,0.0001,128,64,max,0.8748957464553795,28.847767804798327
bert_lstm,0.0001,128,128,avg,0.8761467889908257,62.19622084968969
bert_lstm,0.0001,128,128,max,0.8815679733110926,61.374773477253164
bert,0.001,128,64,avg,0.8978315262718932,16.647528347216156
bert,0.001,128,64,max,0.8586321934945789,16.985262067694414
bert,0.001,128,128,avg,0.8953294412010009,50.43944183148836
bert,0.001,128,128,max,0.8840700583819849,112.73433158272191
bert,0.0001,128,64,avg,0.8957464553794829,59.038497272290684
bert,0.0001,128,64,max,0.9057547956630525,50.40595656947086
bert,0.0001,128,128,avg,0.8732276897414513,107.25044576745285
bert,0.0001,128,128,max,0.8994995829858216,62.13968302074232
lstm,0.001,128,64,avg,0.877814845704754,1.374784268830952
lstm,0.001,128,64,max,0.8844870725604671,1.4126652165463096
lstm,0.001,128,128,avg,0.8653044203502919,2.4598887092188786
lstm,0.001,128,128,max,0.8665554628857381,2.539246960690147
lstm,0.0001,128,64,avg,0.6926605504587156,1.697959397968493
lstm,0.0001,128,64,max,0.7935779816513762,1.4805737294648822
lstm,0.0001,128,128,avg,0.664720600500417,2.5933868006656042
lstm,0.0001,128,128,max,0.664720600500417,2.875197561163651
